Type,Price,Bedrooms,Is_Equiped_Kitchen,State,Facades,Swim_pool,Municipality,Region,TX_MUNTY_DESCR_NL,Average_Income,Bedroom_Bin_Code,Log_Living_Area,Sqrt_Total_Outdoor_Area
0,390000,2,1,1,0,0,7,1,232,30706.557562981663,2,4.574710978503383,4.0
1,160000,4,1,1,3,0,2,2,232,25779.89450284783,3,5.147494476813453,23.2379000772445
0,355000,3,1,1,0,0,7,1,232,30706.557562981663,2,4.624972813284271,3.605551275463989
0,365000,3,1,1,0,0,7,1,232,30706.557562981663,2,4.624972813284271,3.605551275463989
0,400000,3,1,1,0,0,7,1,107,29901.88590354923,2,4.718498871295094,5.196152422706632
1,300000,4,1,4,2,1,7,1,232,30706.557562981663,3,5.730099782973574,15.0
0,89000,1,0,3,0,0,10,1,71,31243.71424783984,1,3.4965075614664802,0.0
0,169900,1,0,3,0,0,10,1,232,30270.018399760407,1,4.330733340286331,0.0
0,370000,2,1,1,0,0,7,1,232,30706.557562981663,2,4.61512051684126,3.1622776601683795
0,87000,1,0,3,0,0,10,1,71,31243.71424783984,1,3.4965075614664802,0.0
1,269000,3,0,1,0,0,7,1,232,30706.557562981663,2,4.897839799950911,0.0
1,349000,3,0,2,3,0,10,1,73,32381.82994695414,2,5.44673737166631,0.0
1,259000,3,0,2,2,0,10,1,151,30948.428667554454,2,4.990432586778736,0.0
0,415000,2,0,1,0,0,10,1,71,31243.71424783984,2,4.290459441148391,4.614831870157771
0,175000,2,0,1,3,0,4,2,222,29281.59945986243,2,4.820281565605037,0.0
1,245000,4,0,4,4,0,9,2,232,39880.409930547525,3,4.836281906951478,4.614831870157771
1,980000,3,0,1,4,1,4,2,232,29112.009816532005,2,6.7661917146603505,0.0
1,200000,4,1,5,2,0,6,2,232,27685.1392926092,3,5.389071729816501,3.872983346207417
1,287000,3,0,5,0,0,5,2,232,32624.60033618776,2,4.820281565605037,0.0
1,240000,2,1,1,4,0,5,2,232,32624.60033618776,2,4.07753744390572,6.4031242374328485
0,379000,2,1,3,0,1,0,1,15,27334.969813259442,2,4.442651256490317,4.47213595499958
1,589000,3,0,2,3,0,8,1,232,36107.18368952242,2,5.303304908059076,22.781571499789035
0,989000,4,1,3,2,0,1,0,232,29190.307316645296,3,5.666426688112432,12.449899597988733
1,625000,4,1,5,4,0,8,1,232,36107.18368952242,3,5.5254529391317835,4.614831870157771
1,497969,3,0,2,3,0,10,1,70,33031.81871771492,2,5.318119993844216,0.0
1,199000,3,0,1,3,0,4,2,12,27159.762204437062,2,5.111987788356544,0.0
1,339000,3,1,5,4,0,6,2,232,27685.1392926092,2,4.820281565605037,4.614831870157771
1,219900,2,0,2,4,0,2,2,232,25779.89450284783,2,4.31748811353631,13.038404810405298
1,949000,4,1,1,4,1,0,1,168,32931.505456790124,3,5.638354669333745,54.78138369920935
1,599000,5,0,1,4,0,3,1,163,30270.26673171136,3,5.932245187448011,4.614831870157771
1,199000,2,1,1,2,1,4,2,232,29112.009816532005,2,5.049856007249537,9.055385138137417
1,625000,4,1,3,4,0,8,1,159,32296.339997791856,3,5.198497031265826,4.614831870157771
0,199900,2,1,3,3,1,1,0,146,24290.646522599087,2,4.2626798770413155,1.4142135623730951
0,215000,2,1,2,2,0,0,1,232,31358.121710453855,2,4.543294782270004,3.4641016151377544
0,210000,2,1,2,2,0,0,1,232,31358.121710453855,2,4.543294782270004,3.4641016151377544
0,349000,3,0,1,3,1,10,1,118,30885.198297666273,2,4.74493212836325,11.313708498984761
1,309000,4,1,2,3,1,7,1,167,30695.52809974486,3,4.997212273764115,4.614831870157771
0,329000,3,0,1,2,1,7,1,232,30706.557562981663,2,4.499809670330265,4.69041575982343
1,649000,3,0,2,3,1,0,1,232,31358.121710453855,2,5.755742213586912,4.614831870157771
0,150000,2,1,1,2,0,2,2,232,25779.89450284783,2,4.394449154672439,4.614831870157771
1,145000,2,0,2,3,0,2,2,232,25779.89450284783,2,4.584967478670572,0.0
1,575000,5,0,5,4,1,4,2,93,30196.316140169525,3,5.973809611869261,6.324555320336759
0,395000,2,1,1,2,0,1,0,59,24710.19126303893,2,4.564348191467836,2.8284271247461903
1,289000,3,1,1,3,1,2,2,63,22740.342676624114,2,5.111987788356544,22.700146986084118
1,250000,3,1,4,4,0,9,2,232,39880.409930547525,2,5.442417710521793,4.614831870157771
0,239000,2,1,1,0,0,1,0,59,24710.19126303893,2,4.248495242049359,4.614831870157771
0,265000,1,0,1,2,0,0,1,15,27334.969813259442,1,4.189654742026425,3.4641016151377544
1,450000,3,0,3,3,0,7,1,107,29901.88590354923,2,4.820281565605037,4.614831870157771
0,169000,2,0,1,0,0,7,1,232,30706.557562981663,2,4.2626798770413155,3.4641016151377544
0,239000,2,0,3,0,0,0,1,85,37680.97418735411,2,4.61512051684126,3.3166247903554
0,859000,4,1,2,2,1,0,1,15,27334.969813259442,3,5.4510384535657,5.0
0,349000,1,1,1,0,0,0,1,15,27334.969813259442,1,4.174387269895637,4.0
1,435000,3,0,1,4,0,8,1,232,36107.18368952242,2,5.375278407684165,4.614831870157771
1,680000,3,1,3,4,0,7,1,232,30706.557562981663,2,4.912654885736052,20.525512738780094
0,295000,2,1,6,0,0,7,1,232,30706.557562981663,2,4.663439094112067,4.614831870157771
0,325000,2,1,1,2,1,1,0,232,29190.307316645296,2,4.983606621708336,4.614831870157771
0,220000,1,1,1,2,0,1,0,201,23836.254744521055,1,4.290459441148391,3.0
0,699000,3,1,3,2,1,10,1,232,30270.018399760407,2,4.624972813284271,4.614831870157771
0,375000,2,0,1,2,1,1,0,59,24710.19126303893,2,4.532599493153256,4.614831870157771
1,788000,4,0,1,0,0,10,1,58,31549.981281934695,3,5.942799375126701,0.0
1,235000,4,1,2,0,0,3,1,0,31823.58151691327,3,4.820281565605037,0.0
1,139900,3,1,1,3,0,2,2,232,25779.89450284783,2,4.68213122712422,5.916079783099616
0,237000,1,0,1,0,0,3,1,119,32142.137810544602,1,4.51085950651685,0.0
0,159000,2,0,1,0,0,10,1,187,26968.364568094898,2,4.219507705176107,4.614831870157771
0,295000,2,1,4,2,1,1,0,88,29043.250210834765,2,4.430816798843313,1.7320508075688772
0,260000,2,1,3,4,0,4,2,232,29112.009816532005,2,4.51085950651685,4.614831870157771
1,235000,2,1,1,2,0,0,1,212,28792.58529525781,2,4.836281906951478,10.0
0,365000,3,1,1,0,0,7,1,107,29901.88590354923,2,4.624972813284271,3.605551275463989
1,469000,3,0,2,4,0,8,1,121,42004.54474681498,2,4.983606621708336,0.0
1,498500,3,1,1,4,1,8,1,110,36356.135288693506,2,5.902633333401366,4.614831870157771
0,390000,2,1,1,0,0,7,1,107,29901.88590354923,2,4.574710978503383,4.0
1,165000,4,0,4,2,0,4,2,232,29112.009816532005,3,5.438079308923196,11.269427669584644
0,310000,2,1,1,0,0,7,1,107,29901.88590354923,2,4.406719247264253,3.1622776601683795
0,325000,2,0,1,2,1,0,1,15,27334.969813259442,2,4.465908118654584,3.1622776601683795
1,435000,3,0,1,2,0,0,1,15,27334.969813259442,2,4.890349128221754,0.0
1,260000,3,0,3,4,0,2,2,232,25779.89450284783,2,4.795790545596741,0.0
1,849000,5,1,1,2,1,0,1,15,27334.969813259442,3,5.929589143389895,8.366600265340756
1,409000,3,1,1,2,1,0,1,232,31358.121710453855,2,5.25227342804663,7.615773105863909
0,225000,2,1,1,0,0,3,1,232,31617.39646234478,2,5.017279836814924,8.602325267042627
0,180000,0,1,6,2,1,9,2,232,39880.409930547525,1,4.3694478524670215,3.4641016151377544
1,149000,3,0,4,2,0,4,2,232,29112.009816532005,2,5.030437921392435,9.813086832889224
1,255000,3,1,4,0,0,3,1,0,31823.58151691327,2,5.159055299214529,4.614831870157771
0,355000,2,1,1,0,0,7,1,107,29901.88590354923,2,4.5217885770490405,3.7416573867739413
0,519000,6,0,1,0,0,7,1,232,30706.557562981663,4,5.6131281063880705,0.0
0,225000,2,1,2,2,0,0,1,232,31358.121710453855,2,4.543294782270004,3.4641016151377544
1,340000,2,1,4,3,1,7,1,232,30706.557562981663,2,4.770684624465665,14.352700094407323
0,380000,2,1,1,0,0,7,1,107,29901.88590354923,2,4.605170185988092,3.1622776601683795
0,355000,3,1,1,0,0,7,1,107,29901.88590354923,2,4.624972813284271,3.605551275463989
0,469000,3,0,6,0,0,10,1,42,26695.28528963925,2,4.948759890378168,0.0
0,370000,2,1,1,0,0,7,1,107,29901.88590354923,2,4.61512051684126,3.1622776601683795
1,419000,3,1,2,0,0,8,1,4,37622.08122513865,2,5.099866427824199,3.1622776601683795
1,367000,1,0,3,4,0,10,1,58,31549.981281934695,1,4.736198448394496,0.0
1,439000,3,0,2,3,1,7,1,72,44226.411008640796,2,5.017279836814924,4.614831870157771
0,145000,2,0,2,2,0,6,2,232,27685.1392926092,2,4.882801922586371,0.0
0,399000,2,1,3,2,1,1,0,88,29043.250210834765,2,4.727387818712341,0.0
